#NAME,SampleType,Individual,Timepoint
Y.A.0H,Inoculum,A,0H
Y.B.0H,Inoculum,B,0H
Y.C.0H,Inoculum,C,0H
Y.D.0H,Inoculum,D,0H
Y.E.0H,Inoculum,E,0H
Y.CN.A.24H,NC,A,24H
Y.CN.B.24H,NC,B,24H
Y.CN.C.24H,NC,C,24H
Y.CN.D.24H,NC,D,24H
Y.CN.E.24H,NC,E,24H
OFP.A.24H,FrutaloseOFP,A,24H
OFP.B.24H,FrutaloseOFP,B,24H
OFP.C.24H,FrutaloseOFP,C,24H
OFP.D.24H,FrutaloseOFP,D,24H
OFP.E.24H,FrutaloseOFP,E,24H
IQ.A.24H,FrutafitIQ,A,24H
IQ.B.24H,FrutafitIQ,B,24H
IQ.C.24H,FrutafitIQ,C,24H
IQ.D.24H,FrutafitIQ,D,24H
IQ.E.24H,FrutafitIQ,E,24H
PM.A.24H,MangabaPulp,A,24H
PM.B.24H,MangabaPulp,B,24H
PM.C.24H,MangabaPulp,C,24H
PM.D.24H,MangabaPulp,D,24H
PM.E.24H,MangabaPulp,E,24H
EM.A.24H,MangabaExt,A,24H
EM.B.24H,MangabaExt,B,24H
EM.C.24H,MangabaExt,C,24H
EM.D.24H,MangabaExt,D,24H
EM.E.24H,MangabaExt,E,24H