"",Pvalues,FDR,MangabaExt,MangabaPulp,LDAscore
Lachnospiraceae_UCG_004,0.08467,0.94887,0.10208,0.034193,0.0145
Lachnospiraceae_NK4A136_group,0.11273,0.94887,0.20244,0.048027,0.0323
NK4A214_group,0.11719,0.94887,0.5366,0.28557,0.0514
Actinomyces,0.13604,0.94887,0.054204,0,0.0116
UCG_009,0.13604,0.94887,0.03296,0,0.0071
Defluviitaleaceae_UCG_011,0.13604,0.94887,0.013385,0,0.0029
unidentified_Ruminococcaceae,0.16926,0.94887,0.62675,0.15204,0.0925
Lachnospiraceae_ND3007_group,0.16926,0.94887,0.21751,0.064537,0.032
Romboutsia,0.16926,0.94887,0.022166,0.0099189,0.00265
Subdoligranulum,0.17453,0.94887,1.7049,0.78104,0.165
Christensenellaceae_R_7_group,0.17453,0.94887,1.5689,0.99979,0.109
Fusicatenibacter,0.17453,0.94887,0.89524,0.51659,0.0753
Negativibacillus,0.19554,0.94887,0.047977,0.017411,0.00659
Colidextribacter,0.19596,0.94887,0.20099,0.052071,0.0312
Roseburia,0.24479,0.94887,0.79396,0.42637,0.0733
Faecalibacterium,0.25059,0.94887,3.7432,1.8523,0.289
Coprococcus,0.25059,0.94887,1.0989,0.72437,0.0745
Intestinibacter,0.28959,0.94887,0.041523,0.020822,0.00447
Family_XIII_AD3011_group,0.28959,0.94887,0.041964,0.025183,0.00363
Fournierella,0.31731,0.94887,0.051617,0,0.0111
Oscillospira,0.31731,0.94887,0.025768,0,0.00556
Rothia,0.31731,0.94887,0.02372,0,0.00512
Oribacterium,0.31731,0.94887,0,0.019637,-0.00424
Parvibacter,0.31731,0.94887,0,0.015988,-0.00346
Caproiciproducens,0.31731,0.94887,0.015201,0,0.00329
Howardella,0.31731,0.94887,0.01523,0,0.00329
Sphingomonas,0.31731,0.94887,0.015126,0,0.00327
Mailhella,0.31731,0.94887,0.014517,0,0.00314
GCA_900066575,0.31731,0.94887,0.014047,0,0.00304
Catenibacillus,0.31731,0.94887,0.012295,0,0.00266
Propionibacterium,0.31731,0.94887,0.012295,0,0.00266
UCG_007,0.31731,0.94887,0.011043,0,0.00239
Candidatus_Soleaferrea,0.31731,0.94887,0.01091,0,0.00236
Coprobacter,0.31731,0.94887,0,0.010437,-0.00226
unidentified_Clostridium_methylpentosum_group,0.31731,0.94887,0.0091088,0,0.00197
Coriobacteriaceae_UCG_002,0.31731,0.94887,0,0.0088449,-0.00192
unidentified_Eubacterium_coprostanoligenes_group,0.31731,0.94887,0,0.0087054,-0.00189
Erysipelotrichaceae_UCG_006,0.31731,0.94887,0,0.0083046,-0.0018
Rheinheimera,0.31731,0.94887,0,0.007322,-0.00159
Prevotellaceae_NK3B31_group,0.31731,0.94887,0.0070738,0,0.00153
A2,0.31731,0.94887,0,0.0065457,-0.00142
unidentified_vadinBE97,0.31731,0.94887,0.0061475,0,0.00133
Levilactobacillus,0.31731,0.94887,0.0051899,0,0.00113
Eubacterium,0.31731,0.94887,0.0050596,0,0.0011
UCG_004,0.31731,0.94887,0,0.004823,-0.00105
Erysipelatoclostridium,0.31731,0.94887,0,0.0045654,-0.00099
Turicibacter,0.31731,0.94887,0,0.0035622,-0.000773
Mitsuokella,0.33211,0.94887,5.5716,66.256,-1.5
Collinsella,0.34721,0.94887,4.6703,8.5797,-0.471
Ruminococcus,0.34721,0.94887,4.806,3.0969,0.268
Eubacterium_hallii_group,0.34721,0.94887,1.0921,0.61501,0.0929
Streptococcus,0.34721,0.94887,0.39212,0.81322,-0.083
Akkermansia,0.36836,0.94887,0.029965,0.0078255,0.00478
Prevotella,0.38863,0.94887,1.6972,0.94543,0.139
Lachnospiraceae_UCG_010,0.38863,0.94887,0.11688,0.063468,0.0114
Acidaminococcus,0.40197,0.94887,6.5107,23.666,-0.981
Megasphaera,0.40197,0.94887,1.7363,15.778,-0.904
Parasutterella,0.41012,0.94887,0.078891,0.096757,-0.00386
Angelakisella,0.41012,0.94887,0.017648,0.031196,-0.00293
Enterococcus,0.45921,0.94887,8.0026,10.337,-0.336
Allisonella,0.45921,0.94887,0.55813,2.1005,-0.248
Oscillibacter,0.45921,0.94887,0.29354,0.073443,0.0453
Desulfovibrio,0.45921,0.94887,0.29659,0.15499,0.0297
CAG_56,0.45921,0.94887,0.1566,0.13872,0.00387
Catenibacterium,0.4647,0.94887,4.1807,9.0041,-0.533
Dialister,0.4647,0.94887,2.2447,3.9277,-0.265
Eubacterium_siraeum_group,0.4647,0.94887,1.2435,0.84596,0.0787
UCG_005,0.4647,0.94887,0.8535,0.465,0.0771
Eubacterium_eligens_group,0.4647,0.94887,0.47253,0.35827,0.0241
Family_XIII_UCG_001,0.52053,0.94887,0.056674,0.022763,0.0073
Eubacterium_brachy_group,0.52053,0.94887,0.018565,0.0097556,0.00191
Olsenella,0.52962,0.94887,0.78865,1.5112,-0.134
Slackia,0.52962,0.94887,0.62595,1.2987,-0.126
UCG_003,0.52962,0.94887,0.2026,0.11219,0.0192
Barnesiella,0.57747,0.94887,0.078385,0.068657,0.00211
UCG_002,0.60151,0.94887,2.8742,1.3669,0.244
Blautia,0.60151,0.94887,5.8386,5.0482,0.145
Dorea,0.60151,0.94887,2.0478,1.7027,0.0691
Methanobrevibacter,0.60151,0.94887,0.79941,0.6267,0.036
Pediococcus,0.63787,0.94887,133.85,19.901,1.76
Mogibacterium,0.63787,0.94887,0.081231,0.19,-0.023
Veillonella,0.63787,0.94887,0.067591,0.022425,0.0097
Bilophila,0.63787,0.94887,0.079918,0.055353,0.0053
unidentified_Lachnospiraceae,0.63787,0.94887,0.024732,0.012297,0.00269
Prevotella_9,0.67517,0.94887,15.125,31.226,-0.957
Weissella,0.67517,0.94887,2.7616,7.9137,-0.553
Alistipes,0.69985,0.94887,0.14791,0.27317,-0.0264
Lactococcus,0.69985,0.94887,0.015702,0.11754,-0.0216
Paraprevotella,0.69985,0.94887,0.039841,0.12077,-0.0172
Libanicoccus,0.69985,0.94887,0.13982,0.10714,0.00704
Clostridium_sensu_stricto_1,0.73819,0.94887,0.21438,0.74319,-0.102
Butyrivibrio,0.73819,0.94887,0.29881,0.10346,0.0405
Monoglobus,0.73819,0.94887,0.18667,0.14414,0.00914
Senegalimassilia,0.73819,0.94887,0.11596,0.1536,-0.0081
Lachnoclostridium,0.73819,0.94887,0.13832,0.11723,0.00456
Butyricimonas,0.73819,0.94887,0.01987,0.035542,-0.00339
Prevotella_7,0.73819,0.94887,0.085654,0.089934,-0.000928
UBA1819,0.74648,0.94887,0.064198,0.028476,0.00769
Agathobacter,0.75109,0.94887,5.9106,3.6872,0.325
Ligilactobacillus,0.75402,0.94887,135.96,182.42,-1.38
Escherichia_Shigella,0.75402,0.94887,94.437,111.09,-0.97
unclassified,0.75402,0.94887,27.714,13.111,0.919
Ruminococcus_gauvreauii_group,0.75402,0.94887,0.24385,0.27921,-0.00761
Limosilactobacillus,0.81395,0.94887,2.0418,0.20453,0.283
Succinivibrio,0.81395,0.94887,1.4422,1.0597,0.076
Eubacterium_ventriosum_group,0.81395,0.94887,0.076765,0.042425,0.00739
Lacticaseibacillus,0.8815,0.94887,9.8081,3.0267,0.643
Coriobacteriaceae_UCG_003,0.8815,0.94887,0.46687,1.2379,-0.142
Eubacterium_ruminantium_group,0.8815,0.94887,0.080131,0.026908,0.0114
Asteroleplasma,0.8815,0.94887,0.036108,0.07774,-0.00895
Sellimonas,0.8815,0.94887,0.036885,0.075203,-0.00824
Hungatella,0.8815,0.94887,0.0084611,0.035041,-0.00573
Erysipelotrichaceae_UCG_003,0.8815,0.94887,0.032175,0.057019,-0.00536
Merdibacter,0.8815,0.94887,0.0264,0.0093018,0.0037
Rikenellaceae_RC9_gut_group,0.8815,0.94887,0.036611,0.052063,-0.00334
Tyzzerella,0.8815,0.94887,0.019672,0.033963,-0.00309
Solobacterium,0.8815,0.94887,0.025336,0.038183,-0.00278
Sphaerochaeta,0.8815,0.94887,0.033137,0.044589,-0.00248
Ruminococcus_gnavus_group,0.8815,0.94887,0.016054,0.0062622,0.00212
Eisenbergiella,0.8815,0.94887,0.021516,0.01213,0.00203
Coprobacillus,0.8815,0.94887,0.030664,0.021608,0.00196
Lachnospiraceae_UCG_001,0.8815,0.94887,0.03046,0.022961,0.00163
Lactiplantibacillus,0.8815,0.94887,0.0096478,0.016057,-0.00139
Paludicola,0.8815,0.94887,0.0072734,0.011607,-0.00094
Odoribacter,0.8815,0.94887,0.010034,0.0060648,0.000861
Anaerotruncus,0.8815,0.94887,0.0081966,0.01213,-0.000853
unidentified_Erysipelotrichaceae,0.8815,0.94887,0.0092335,0.0064031,0.000614
Holdemania,0.8815,0.94887,0.012295,0.010152,0.000465
DTU089,0.8815,0.94887,0.0088241,0.0099876,-0.000253
Hydrogenoanaerobacterium,0.8815,0.94887,0.0058827,0.0058036,1.72e-05
Peptococcus,0.91129,0.94887,0.021427,0.024228,-0.000608
Phascolarctobacterium,0.91418,0.94887,0.67488,1.6652,-0.175
Parabacteroides,0.91418,0.94887,0.61211,0.78678,-0.0364
Holdemanella,0.91418,0.94887,0.39984,0.53985,-0.0294
Alloprevotella,0.91418,0.94887,0.42054,0.36499,0.0119
Lachnospira,0.91418,0.94887,0.34903,0.31784,0.00672
Anaerostipes,0.91579,0.94887,0.31217,0.21356,0.0209
Sutterella,0.91579,0.94887,0.10871,0.14461,-0.00773
Lactobacillus,0.91656,0.94887,63.05,36.997,1.15
Bifidobacterium,0.91681,0.94887,422.24,405.13,0.98
Bacteroides,0.91681,0.94887,6.6828,8.0487,-0.226
Ruminococcus_torques_group,0.91681,0.94887,1.2469,1.0626,0.0383
Butyricicoccus,0.91681,0.94887,0.37589,0.42968,-0.0115
unidentified_Prevotellaceae,1,1,0.16936,0.25052,-0.0173
unidentified_Oscillospiraceae,1,1,0.10571,0.055703,0.0107
Enterorhabdus,1,1,0.28977,0.32067,-0.00666
Eubacterium_xylanophilum_group,1,1,0.1522,0.12586,0.00568
Intestinimonas,1,1,0.17636,0.18728,-0.00237
