#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae,0.0014859559104611567,0.0,0.0009400338952626087,0.001446978661097489,0.0012919673361698153,7.572785569600258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0536966591542406e-05,0.0,0.0,0.0,0.0,9.831450913991731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001480693433035947,0.0,0.0,0.00012294904700023543,0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,0.015291143299927788,0.028910410614160213,0.25086312837295,0.27652062021230067,0.0031842657843761343,0.00045490231336821335,0.011322347390625835,0.045755187819225766,0.019402076000360386,0.004005436895660001,0.08353945321820838,0.5179866094317979,0.6827267119148278,0.5607535520538834,0.010502850965372706,0.06975786330892006,0.3301209725293046,0.6446011354627694,0.6675001981733667,0.00383299692179796,0.4241731868584626,0.24803680482506946,0.7733895933800398,0.5770523542203518,0.002988304585697214,0.3864452896255654,0.3256503457303397,0.8725513860516837,0.5219331993120961,0.004601187187858794
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,0.0,0.0,4.533925539851811e-05,0.0003489498378852466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.793485883212244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011860036688125604,0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147452350011771e-05,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,0.0278185676041168,0.04188773430600423,8.962187560766399e-05,0.0019495221481852399,0.03405341948558078,0.002959212183025819,0.05047441258789441,0.002217595025865565,0.012005921671723017,0.06519653918303342,0.0018098907527273392,0.0011762247565440798,0.0,0.00039874648653111765,0.011757131867663431,0.0012705136002020999,0.006167800896744132,0.0,0.0003885483594751223,0.02497803430629077,0.0014265588878191438,0.004680865762093284,4.422472472343083e-05,0.001706847026705317,0.006762339992856602,0.0014590962749023231,0.002002591816795698,0.0,0.0010307105736546685,0.0027318654624814806
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,0.059061311016768314,0.031807523214801674,0.005057382356512836,0.018569559484084442,0.04676921756934731,0.045477101607306086,0.11328795954222527,0.20511369867143717,0.2627379943956433,0.09297306837122078,0.045624614104888474,0.0012232840929279456,0.0009288831279212618,0.03950238859986781,0.0036347736299493,0.018523362867017265,0.0031347380104799144,0.00578273753615493,0.02762244448795117,0.00718567268435855,0.014583241256924298,0.0029892015261678575,0.005886487759587537,0.01580070661164328,0.003639030547903887,0.006328906788062218,0.0009323582022196699,0.01011400710473695,0.003950762710274232,0.002025544848699616
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,0.031887837614168316,0.009427382130371297,0.0009992486288224582,0.02618625481981718,0.017674647239788496,0.07215238047702348,0.2051971820041212,0.03673731281819024,0.14644392195757383,0.1986505507775164,0.03412019267538869,0.004345508043365266,0.0,0.008087893341640737,0.007323787277871555,0.02141823282552236,0.005819189702790309,0.00026909290977445674,0.008149247302910364,0.016016190332948176,0.0016462210660120919,0.001318803276926606,0.00024654413467865377,0.002784772824343698,0.0037082183375851856,0.0013213814793015392,0.0007633662831208419,0.0002962717679255996,0.0017031347317729463,0.0019865263385376577
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unclassified,0.0005139891841062981,0.0,0.0,0.0019731527196783943,0.0,0.00013768701035636832,0.0003875296486450851,0.0,0.0007896247794595642,0.0,0.00021627595435794598,0.0,0.0,0.00019812098157232058,0.0,0.0001464297459843262,0.0,0.0,0.0003861078904404026,0.0,7.383504236741599e-05,0.0,0.0,0.0002205365210520603,0.0,0.0,0.0,0.0,0.00024589809400047086,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unidentified_Coriobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002895290858018402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,0.004158280329318716,0.0,0.1108958374685058,0.07093723197270455,0.0004004031000526287,0.1474073377774997,0.1132084490925544,0.19204946646029075,0.1226097652913515,0.006784766724561872,0.04768458795500792,0.0076270962836007625,0.10285605400212836,0.10707833684318013,0.0007994370153847435,0.04970407969743197,0.0044237321169030164,0.0962390874048783,0.07557628071504097,0.0008360011159785298,0.005263431679309932,8.45260430349993e-05,0.021963058229074742,0.01281347260474432,0.00011913366797788012,0.0008446770401113444,9.422412661670217e-05,0.018409005454312632,0.01394541944791472,0.000120721442826185
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae,0.0012829960787884133,0.0,0.003976343376960835,0.00021704679916462335,0.0,9.087342683520308e-05,0.0,0.0004095801595598661,8.685872574055206e-05,0.0,0.00013877707071301533,0.0,0.000406386368465552,0.00016950350645631872,0.0,0.00020134090072844855,0.0,0.0002441772552129763,0.00016516837535506107,0.0,4.0609273302078794e-05,0.0,0.00037573326125026833,0.0,0.0,0.0001776832119643136,0.0,0.00014047232089912427,7.376942820014126e-05,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,0.0018973119978693061,0.0006818038503172783,0.0003701383462596522,7.536347193216089e-05,0.0,7.572785569600258e-05,0.00019537953119189706,9.481022212033938e-05,0.0001520027700459661,0.0,5.947588744843515e-05,0.0,5.8055195495078864e-05,0.0,0.0,7.55028377731682e-05,0.0,0.0002180154064401574,2.3595482193580156e-05,0.0,4.0609273302078794e-05,3.2728483863151724e-05,0.00010437035034729677,3.0323771644658287e-05,0.0,0.0,0.0,0.00010033737207080307,4.917961880009417e-05,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,0.0015221987375455752,0.0037461750017432874,3.525127107234783e-05,0.0,0.0,0.0003597073145560123,0.00012433242894029813,0.0,0.0,0.0,7.434485931054394e-05,0.000382276279039983,0.0,0.0,0.0,0.00012583806295528034,0.00073470422120623,0.0,0.0,0.0,6.768212217013133e-05,0.0002250083265591681,0.0,0.0,0.0,0.00015864572496813715,0.00015201492427494617,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,0.0036545419426052333,0.030168349420818544,0.0010877535073753044,0.002474694195417077,0.09913999147861877,0.0004973651539356102,0.00255878837032634,0.0002817218028718656,0.0,0.004595982508806207,0.0013020851065688487,0.03710615616678537,4.146799678219919e-05,0.0036078651354230235,0.39686020252802745,0.0010242548000737783,0.10650623318589525,0.000996641858012148,0.005683973422955496,0.33393958929862755,0.0014339432663163418,0.004281488690556607,0.0006038570270093599,0.00043686789657558555,0.15965144351795896,0.0013984412229802756,0.004124744772555547,0.0001720069235499481,0.0008898627012825681,0.08263070537758424
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,0.01213368032139694,0.0008645019234792201,0.03384122022945392,0.0003478314089176656,0.0004192682461128006,0.0004732990981000161,0.0007678552204884346,0.004270835851820826,0.00032015235449241945,0.000369919370177271,0.0005242265720615277,0.0,0.0009445133728622446,0.00039116193797612017,0.0,0.0,0.0,0.0014612622370117215,0.0,0.0,0.0002603158545005051,0.0,0.001365846604064143,0.0,0.0,0.0001830527595786198,0.0,0.0006213198808999728,0.00011822023750022636,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,0.0011545227019500368,0.0006541386393151741,0.0401394473277134,0.004055763250888298,0.0,0.015137954050670527,0.01798167583809769,0.018619799817979652,0.00878881592820623,0.0036220869401258956,0.0030649008458488963,0.0013530204923039488,0.008681470961816089,0.00406669408260351,3.058715537124236e-05,0.003320250927296493,0.0005856012371658396,0.00824262692409815,0.002664366335290504,0.0,0.0002347861411273403,0.0,0.003332350589605357,0.00036674789474024826,0.0,0.00021829027382067067,0.0,0.002290653109637806,0.0005515828389970341,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__unclassified,0.0002995274965654418,0.0008668834714777856,0.0,0.0,0.0002402418600315772,4.1723336471626765e-05,0.000430588498494539,0.0,0.0,9.462715097017953e-05,0.0,5.2655134853992146e-05,0.0,0.0,0.00021802827692311188,8.319871930927626e-05,0.0004151750914494483,0.0,0.0,0.0001897307497256238,9.322606359522222e-05,6.762083442799943e-05,0.0,0.0,0.00021179318751623135,0.0,0.00014657086362598117,0.0,0.0,0.00011497280269160476
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__unclassified;f__unclassified,0.0,0.0,0.0,8.451978160616175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.742472438703053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__unclassified,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__unidentified_Gastranaerophilales,0.0,0.000599388000278926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030141711639229945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015070855819614972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,0.004206075459007511,0.0017430715111086234,0.0016348415569784498,0.005633117728128383,0.002502632380017731,0.0023683005976629333,0.0023116049935484003,0.0024403326737061264,0.0018868528808691628,0.0003254177918100805,0.0005897685254230792,0.0007428290014144598,0.00028606907925111323,0.0009403778219960039,0.00014824038019834563,0.0006043298584030855,0.0004957518361715452,0.00019911297735393985,0.0008681823587435719,6.796604817473825e-05,0.00017811084781613507,8.612758911355716e-05,0.00013613523958343055,0.0007568221267835386,0.0,0.0003005918999396283,0.00014001374604271358,0.00020358307376684676,0.0012217534018272823,0.0001604462562779136
k__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012107393318308481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,0.09369852633927937,0.06905807161725107,0.003684218354354643,0.04439301126768895,0.10205465316294732,0.007043849781530923,0.014384722471684316,0.0004053643701107147,0.0016165182924618446,0.011739949027498978,0.011333460774896253,0.0014902788678840754,0.0013582985169276172,0.013761718910484428,0.0020616592363422105,0.00984333292450193,0.0007702881863358764,0.003479960881895149,0.013248498950901293,0.0030227270610453964,0.011394711294951468,0.005461614332080105,0.00029669386212476475,0.0017118325309331826,0.026984540885206826,0.01141544127659618,0.0009152790907750025,0.0001608734587833541,0.0051874016825342135,0.003719063572932903
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,0.0039276832686583885,0.01936703527895113,5.717755409108619e-05,0.00036063501906187414,0.08036622206185418,0.001073636544154162,0.012846739934946071,0.0003491783640634779,0.0001447645429009201,0.011105686262421052,0.00024325516338828283,0.004709659392794227,0.0,0.0005764010561354222,0.002899798376357237,0.0002470440499735565,0.0031439222948035244,7.597101279632479e-05,0.0003408135790767502,0.015171439649311974,0.00015161822508421977,0.0007556330936911717,3.201544489180882e-05,4.650885221573357e-05,0.0020930006985643524,0.00040878039562342093,0.0004880642763019745,4.6167502486565825e-05,0.00019347503408319257,0.001229009885950013
k__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,2.3218007271764358e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9783322415536733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.974382992717914e-05,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,0.0,0.0,0.0,0.0,0.01682957451063312,0.07253931440353932,0.001457045835649851,0.000894760716925163,0.002364575110904321,0.1804011505632205,0.0020868732438047424,0.00017344658758619916,0.0004003806585867508,0.0010876877844941376,0.16633222925179267,0.0020462959057700758,8.205547633184197e-05,0.0005803192911897717,0.0008136373170200054,0.14969717415222236,0.0007247268980104807,0.0,0.0001420649051914203,6.604088198473675e-05,0.05075396954832592,0.000483711103351126,0.0,3.642009875528242e-05,0.0,0.03949309512594408
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,3.435339060134451e-05,0.0001289006452212744,0.0004385304440681,0.0017430035214641949,0.0007757962684195055,0.00021673456631939454,0.00035764321257773747,0.00022766435643430626,0.00020582636431410443,0.000618133916225028,0.00029737943724217575,0.005163106547254652,0.01672891924953922,0.008641583034766686,0.2634809076889999,0.000684559062476725,0.00409951387422654,0.013060259418974356,0.00454762847964736,0.3333967895942953,0.09787750831869489,0.3373592597356086,0.11992111647372156,0.06251525168887384,0.6353026539096177,0.19116733611595768,0.5152214056810439,0.04141211486486677,0.18654333251411986,0.803085280753874
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,0.0003102805300418893,0.00027763422322705665,0.0036578724794737493,0.01271403844478965,0.0007703152527372329,7.3522189996119e-05,4.4590231538660415e-05,0.0004601667684501827,0.0015899871343720304,0.0002586166147936444,4.1475514259717674e-05,0.2166898698867853,0.0002671996445380199,0.0038988885344366417,0.000457283688399647,0.0,0.24936067782604754,0.0002554155389257074,0.0029000723407381465,0.0003602105761004259,6.768212217013133e-05,0.0021910282084118306,0.0010025777611660748,0.0013322159090749458,6.031453483398952e-05,0.00010239116376056234,0.00015901142706584327,0.00026012637955716175,0.0015175719190405627,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__unclassified,0.0,0.0,4.2642666619775605e-05,0.00010939858828862064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__unclassified,0.001083731594190944,0.003183024511285146,0.01020674057846411,0.0,0.0005858185225279799,0.0001856074894509867,0.0005340141672505802,0.0009419054746595808,0.0,0.00013470453255754966,0.0,2.0821148095859638e-05,8.537528749276304e-05,0.0,0.0,6.579767997661717e-05,0.0,0.00023748954949908213,0.0,0.00011253637606274744,0.0,8.021687221360716e-05,0.0002558096822237666,0.0,0.0,8.295201305523512e-05,2.4839039914206892e-05,0.00018854244751866588,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae,0.00010872848125325537,0.0,0.0,0.00015826329105753787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__unclassified;f__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013879258712992618,0.019385744118288396,0.0,0.0,0.0,0.07333994854245973,0.0064457308577366874,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,0.03919661749179856,0.08518801953964236,0.06955075782574227,0.01849419601215228,0.0345924254259468,0.0029533863721441004,0.012078007382771818,0.006105778304549856,0.002931481993743632,0.006492084946611106,0.0007930118326458021,0.0023892267439998937,0.0013642970941343533,0.0018161089977462722,0.0021544827564618837,0.0010570397288243549,0.002373659791589358,0.0021220166226841985,0.0013567402261308588,0.001205264587632025,0.0010829139547221013,0.001063675725552431,0.001669925605556748,0.0010310082359183818,0.0006246575324306849,0.0017768321196431362,0.001254123125268306,0.002157253499522266,0.0021208710607540614,0.0010433781844263132
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__unclassified,0.008531804270590373,0.027352454797417502,0.00038793264816459335,0.015231354327341991,0.0027122041566722795,0.00045291779722489585,0.002702509391867041,0.0,0.0013506739648650441,0.0005916687123819647,0.00030828809283479144,0.000990747932121168,0.0,0.0019406587376236085,0.0003155672429150303,0.0003130899174006975,0.0007210935798858839,4.172543663926458e-05,0.0015664464853393525,4.119154434832622e-05,0.00017811084781613507,0.0004893613017815748,0.0,0.002611616696669135,9.196283142152151e-05,0.0008046146816565809,0.00030912125749690014,0.0,0.002397212280028514,0.00017972064420740324
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__unclassified,0.001378614714455152,0.003190522250288542,0.0,0.0,0.0002549935531914109,0.0,0.0,0.0,0.0,0.0,0.0,0.00016766503466665922,0.0,0.0,4.207563238867071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002740423289976819,0.0,0.0,4.5981415710760756e-05,0.00019735831814218018,9.091801691085298e-05,3.600623399669967e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__unidentified_Clostridia_vadinBB60_group,0.0,0.00014339425843993447,0.0,0.0,0.0,0.0,3.399382882851624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,0.0010233268823835798,8.81452941586656e-05,0.0,3.1918646935974025e-05,0.0004331890480098792,0.03230461232396534,0.004346410961274287,2.6769945069272298e-05,0.0,7.274044758107681e-05,0.48384217536237767,0.0006970920382493807,0.0,0.0,3.1036966479642986e-05,0.5289699205432175,0.00041666483736582573,0.0,0.0,0.0,0.0036627971997953424,1.925204933126572e-05,0.0,0.0,3.39180560595847e-05,0.001022798320971049,0.0,0.0,0.0,4.9100149855355915e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae,0.00016309272187988306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
